type,parameters,,,,,
3,0,0,0,255,0,build up
3,12,0,0,0,255,
2,75,,,,,
4,,,,,,
3,0,0,0,240,0,
3,1,0,0,255,0,
3,12,0,0,0,240,
3,13,0,0,0,255,
2,50,,,,,
4,,,,,,
3,0,0,0,225,0,
3,1,0,0,240,0,
3,2,0,0,255,0,
3,12,0,0,0,225,
3,13,0,0,0,250,
3,14,0,0,0,255,
2,45,,,,,
4,,,,,,
3,0,0,0,210,0,
3,1,0,0,225,0,
3,2,0,0,240,0,
3,3,0,0,255,0,
3,12,0,0,0,210,
3,13,0,0,0,225,
3,14,0,0,0,240,
3,15,0,0,0,255,
2,40,,,,,
4,,,,,,
3,0,0,0,195,0,
3,1,0,0,210,0,
3,2,0,0,225,0,
3,3,0,0,240,0,
3,4,0,0,255,0,
3,12,0,0,0,195,
3,13,0,0,0,210,
3,14,0,0,0,225,
3,15,0,0,0,240,
3,16,0,0,0,255,
2,35,,,,,
4,,,,,,
3,0,0,0,180,0,
3,1,0,0,195,0,
3,2,0,0,210,0,
3,3,0,0,225,0,
3,4,0,0,240,0,
3,5,0,0,255,0,
3,12,0,0,0,180,
3,13,0,0,0,195,
3,14,0,0,0,210,
3,15,0,0,0,225,
3,16,0,0,0,240,
3,17,0,0,0,255,
2,30,,,,,
4,,,,,,
3,0,0,0,165,0,
3,1,0,0,180,0,
3,2,0,0,195,0,
3,3,0,0,210,0,
3,4,0,0,225,0,
3,5,0,0,240,0,
3,6,0,0,255,0,
3,12,0,0,0,165,
3,13,0,0,0,180,
3,14,0,0,0,195,
3,15,0,0,0,210,
3,16,0,0,0,225,
3,17,0,0,0,240,
3,18,0,0,0,255,
2,25,,,,,
4,,,,,,
3,0,0,0,150,0,
3,1,0,0,165,0,
3,2,0,0,180,0,
3,3,0,0,195,0,
3,4,0,0,210,0,
3,5,0,0,225,0,
3,6,0,0,240,0,
3,7,0,0,255,0,
3,12,0,0,0,150,
3,13,0,0,0,165,
3,14,0,0,0,180,
3,15,0,0,0,195,
3,16,0,0,0,210,
3,17,0,0,0,225,
3,18,0,0,0,240,
3,19,0,0,0,255,
2,20,,,,,
4,,,,,,
3,0,0,0,135,0,
3,1,0,0,150,0,
3,2,0,0,165,0,
3,3,0,0,180,0,
3,4,0,0,195,0,
3,5,0,0,210,0,
3,6,0,0,225,0,
3,7,0,0,240,0,
3,8,0,0,255,0,
3,12,0,0,0,135,
3,13,0,0,0,150,
3,14,0,0,0,165,
3,15,0,0,0,180,
3,16,0,0,0,195,
3,17,0,0,0,210,
3,18,0,0,0,225,
3,19,0,0,0,240,
3,20,0,0,0,255,
2,15,,,,,
4,,,,,,
3,0,0,0,120,0,
3,1,0,0,135,0,
3,2,0,0,150,0,
3,3,0,0,165,0,
3,4,0,0,180,0,
3,5,0,0,195,0,
3,6,0,0,210,0,
3,7,0,0,225,0,
3,8,0,0,240,0,
3,9,0,0,255,0,
3,12,0,0,0,120,
3,13,0,0,0,135,
3,14,0,0,0,150,
3,15,0,0,0,165,
3,16,0,0,0,180,
3,17,0,0,0,195,
3,18,0,0,0,210,
3,19,0,0,0,225,
3,20,0,0,0,240,
3,21,0,0,0,255,
2,10,,,,,
4,,,,,,
3,0,0,0,105,0,
3,1,0,0,120,0,
3,2,0,0,135,0,
3,3,0,0,150,0,
3,4,0,0,165,0,
3,5,0,0,180,0,
3,6,0,0,195,0,
3,7,0,0,210,0,
3,8,0,0,225,0,
3,9,0,0,240,0,
3,10,0,0,255,0,
3,12,0,0,0,105,
3,13,0,0,0,120,
3,14,0,0,0,135,
3,15,0,0,0,150,
3,16,0,0,0,165,
3,17,0,0,0,180,
3,18,0,0,0,195,
3,19,0,0,0,210,
3,20,0,0,0,225,
3,21,0,0,0,240,
3,22,0,0,0,255,
2,5,,,,,
4,,,,,,
3,0,0,0,90,0,
3,1,0,0,105,0,
3,2,0,0,120,0,
3,3,0,0,135,0,
3,4,0,0,150,0,
3,5,0,0,165,0,
3,6,0,0,180,0,
3,7,0,0,195,0,
3,8,0,0,210,0,
3,9,0,0,225,0,
3,10,0,0,240,0,
3,11,0,0,255,0,
3,12,0,0,0,90,
3,13,0,0,0,105,
3,14,0,0,0,120,
3,15,0,0,0,135,
3,16,0,0,0,150,
3,17,0,0,0,165,
3,18,0,0,0,180,
3,19,0,0,0,195,
3,20,0,0,0,210,
3,21,0,0,0,225,
3,22,0,0,0,240,
3,23,0,0,0,255,
2,5,,,,,
4,,,,,,
3,1,0,0,90,0,chasing your tail
3,2,0,0,105,0,
3,3,0,0,120,0,
3,4,0,0,135,0,
3,5,0,0,150,0,
3,6,0,0,165,0,
3,7,0,0,180,0,
3,8,0,0,195,0,
3,9,0,0,210,0,
3,10,0,0,225,0,
3,11,0,0,240,0,
3,12,0,0,255,0,
3,13,0,0,0,90,
3,14,0,0,0,105,
3,15,0,0,0,120,
3,16,0,0,0,135,
3,17,0,0,0,150,
3,18,0,0,0,165,
3,19,0,0,0,180,
3,20,0,0,0,195,
3,21,0,0,0,210,
3,22,0,0,0,225,
3,23,0,0,0,240,
3,0,0,0,0,255,
2,25,,,,,
4,,,,,,
3,2,0,0,90,0,
3,3,0,0,105,0,
3,4,0,0,120,0,
3,5,0,0,135,0,
3,6,0,0,150,0,
3,7,0,0,165,0,
3,8,0,0,180,0,
3,9,0,0,195,0,
3,10,0,0,210,0,
3,11,0,0,225,0,
3,12,0,0,240,0,
3,13,0,0,255,0,
3,14,0,0,0,90,
3,15,0,0,0,105,
3,16,0,0,0,120,
3,17,0,0,0,135,
3,18,0,0,0,150,
3,19,0,0,0,165,
3,20,0,0,0,180,
3,21,0,0,0,195,
3,22,0,0,0,210,
3,23,0,0,0,225,
3,0,0,0,0,240,
3,1,0,0,0,255,
2,20,,,,,
4,,,,,,
3,3,0,0,90,0,
3,4,0,0,105,0,
3,5,0,0,120,0,
3,6,0,0,135,0,
3,7,0,0,150,0,
3,8,0,0,165,0,
3,9,0,0,180,0,
3,10,0,0,195,0,
3,11,0,0,210,0,
3,12,0,0,225,0,
3,13,0,0,240,0,
3,14,0,0,255,0,
3,15,0,0,0,90,
3,16,0,0,0,105,
3,17,0,0,0,120,
3,18,0,0,0,135,
3,19,0,0,0,150,
3,20,0,0,0,165,
3,21,0,0,0,180,
3,22,0,0,0,195,
3,23,0,0,0,210,
3,0,0,0,0,225,
3,1,0,0,0,240,
3,2,0,0,0,255,
2,15,,,,,
4,,,,,,
3,4,0,0,90,0,
3,5,0,0,105,0,
3,6,0,0,120,0,
3,7,0,0,135,0,
3,8,0,0,150,0,
3,9,0,0,165,0,
3,10,0,0,180,0,
3,11,0,0,195,0,
3,12,0,0,210,0,
3,13,0,0,225,0,
3,14,0,0,240,0,
3,15,0,0,255,0,
3,16,0,0,0,90,
3,17,0,0,0,105,
3,18,0,0,0,120,
3,19,0,0,0,135,
3,20,0,0,0,150,
3,21,0,0,0,165,
3,22,0,0,0,180,
3,23,0,0,0,195,
3,0,0,0,0,210,
3,1,0,0,0,225,
3,2,0,0,0,240,
3,3,0,0,0,255,
2,10,,,,,
4,,,,,,
3,5,0,0,90,0,
3,6,0,0,105,0,
3,7,0,0,120,0,
3,8,0,0,135,0,
3,9,0,0,150,0,
3,10,0,0,165,0,
3,11,0,0,180,0,
3,12,0,0,195,0,
3,13,0,0,210,0,
